INDEX,TITLE,CONTENT,URL,
0,복수전공,"복수전공 신청 안내
1. 신청대상자  : 본교 1학년 과정 이상을 수료한 재학생

2. 신청기간 : 매학기 소정 기간 내 (1학기는 1월 중, 2학기는 7월 중 신청)

※ 자세한 일정은 학사공지의 개별 공지사항 참고

3. 신청절차 및 방법

1) 복수전공 신청서 작성
2) 소속 학부(과)장 및 부전공 학부(과)장 승인
3) 신청서 교무팀(본관 108호) 제출
4) 복수전공 승인
5) 제출서류 : 부전공 신청서 1부, 성적증명서 1부

4. 복수전공 이수학점

1)복수전공 이수 인정에 필요한 학점은 복수전공 학부(과) 전공과목(전공필수과목 반드시 이수)중에서 42학점 이상으로 함.  (선수과목 지정시 반드시 이수해야 함)
2) 동일학부 내에서 복수전공 학점은 36학점이상으로 함.  복수전공 과목 학점 미취득자는 복수전공을 인정하지 아니함.
3) 복수전공 이수자는 졸업학기말 성적 산출 후 복수전공 학부(과)에서 복수전공 과목 이수를 확인하여 복수전공 이수확인서를     교무팀(본관108호)에 제출, 복수전공 과목 학점을 인정 받음.
4) 주전공 및 융합전공 동일교과목을 중복으로 인정하지 않음.

5. 복수전공 관련 양식

복수전공(신청원, 취소원, 이수확인서)양식
※ 복수전공 이수 확인서는 4학년 졸업학기말 성적 산출 후 제출

6. 참고사항

1) 복수전공 변경 및 취소는 매학기 소정 기한내 신청 가능(학사공지 공지사항 참고)
2) 복수전공 신청 전에 이수한 복수전공 교과목도 복수전공 이수로 인정됨 (복수전공 신청년도에 따라 다를 수 있음)

문의 : 각 학부(과)   관리 : 교무팀
전화번호02-300-0457
E-mailkyomu@kau.ac.kr",https://kau.ac.kr/web/pages/gc95047h.do,
1,부전공,"부전공 신청 안내
1. 신청대상자  : 본교 1학년 과정 이상을 수료한 재학생

2. 신청기간 : 매학기 소정 기간 내 (1학기는 1월 중, 2학기는 7월 중 신청)

※ 자세한 일정은 학사공지의 개별 공지사항 참고

3. 신청절차 및 방법

1) 부전공 신청서 작성
2) 소속 학부(과)장 및 부전공 학부(과)장 승인
3) 신청서 교무팀(본관 108호) 제출
4) 부전공 승인
5) 제출서류 : 부전공 신청서 1부, 성적증명서 1부

4. 부전공 이수학점

1)부전공 이수 인정에 필요한 학점은 부전공 학부(과) 전공과목(전공필수과목 9학점이상 이수)중에서 24학점 이상으로 함.    (선수과목 지정시 반드시 이수해야 함)
2) 부전공 이수자는 졸업학기말 성적 산출 후 부전공 학부(과)에서 부전공 과목 이수를 확인하여 부전공 이수확인서를    교무팀(본관108호)에 제출, 부전공 과목 학점을 인정 받음.
3) 주전공 및 융합전공 동일교과목을 중복으로 인정하지 않음.

5. 부전공 관련 양식

부전공(신청원, 취소원, 이수확인서)양식
※ 부전공 이수 확인서는 4학년 졸업학기말 성적 산출 후 가능

6. 참고사항

1) 부전공 변경 및 취소는 매학기 소정 기한내 신청 가능(학사공지 공지사항 참고)
2) 부전공 신청 전에 이수한 복수전공 교과목도 복수전공 이수로 인정됨

문의 : 각 학부(과)   관리 : 교무팀
전화번호02-300-0457
E-mailkyomu@kau.ac.kr",https://kau.ac.kr/web/pages/gc81492h.do,
2,전과,"전과 신청 안내
1. 신청 대상자
구분 : 2학년 전과 - 1학년(33학점이상 이수) 수료 & 2학기 이수자
비고 : [경영학부] - 평점평균3.0 / 토익700점 이상 신청가능
[항공전자정보공학부] - 평점평균3.0 이상 신청가능
[항공운항학과] - 평점평균3.5/토익800점 이상 신청가능

구분 : 3학년 전과 - 2학년(65학점 이상 이수) 수료 & 4학기 이수자
비고 : [경영학부] - 평점평균3.0 / 토익700점 이상 신청가능
[항공전자정보공학부] - 평점평균3.0 이상 신청가능
[항공운항학과] - 평점평균3.5/토익800점 이상 신청가능
휴학생은 전과 신청 전 복학신청을 해야 함
2. 신청기간

매년 소정 기간 내 (1월 중 신청)
자세한 일정은 학사공지 ‘전과 신청안내’ 참고

3. 제출서류 및 제출처
구분 : 공통서류 - 전과신청서 각 1부, 성적증명서 1부
비고 : 전과 희망 학부(과) 사무실

구분 : 경영학부, 항공교통물류학부 - 토익성적증명서 1부
비고 : 전과 희망 학부(과) 사무실

구분 : 항공운항학과 - 전과지원서 1부, 토익성적증명서 1부, 항공신체검사증명서 1부
비고 : 전과 희망 학부(과) 사무실

4. 신청절차

전과신청서 제출(각 학부(과) 사무실) → 학부(과) 전과 심의 → 심사결과개별통보
※ 면접 실시 학과는 학과에서 일정 개별 통보

5. 신청서 양식

전과 신청원 양식

문의 : 각 학부(과)   관리 : 교무팀전화번호02-300-0457E-mailkyomu@kau.ac.kr",https://kau.ac.kr/web/pages/gc45400h.do,
3,학석사 연계과정,"학·석사 연계과정 안내
1. 학·석사 연계과정이란?

학·석사 연계과정은 학사과정과 석사과정을 연계하여 수업연한을 단축하여 5년 또는 5.5년 내에 학사, 석사과정을 완료할 수 있는 과정

수업연한 5년 : 학사학위과정 3.5년 및 석사학위과정 1.5년
수업연한 5.5년 : 학사학위과정 4년 및 석사학위과정 1.5년

2. 선발 및 입학 절차

1.지원
대학원 입학 지원
일대원

2.합격
대학원 입학 지원
일대원

3.과목이수
대학원과목 6학점 이수(학부 7학기 이수)
일대원

4. 졸업요건
학사 졸업요건 충족
교무팀

5. 등록
대학원 등록금 납부
일대원

6. 졸업
학부졸업
교무팀

7. 입학
대학원 입학
일대원

* 대학원 진학 후 첫 학기는 휴학불가(군 휴학/병가만 가능)

3. 입학지원 및 선발

가. 모집인원 : 대학원 석사과정 입학정원의 30% 범위 내

나. 지원자격 :

학사학위과정 5 개학기 이상 7개 학기 이하를  등록한 자
평점평균 3.0 이상인 자
학부 ( 과 ) 장 추천을 받은 자

다. 지원시기 : 매년 전기 또는 후기 모집 (4 월 / 10 월경 )
라. 문 의 처 : 대학원행정실 02-300-0303/0304

4. 학부졸업조건

가. 졸업요건

구분 : 2012 학번 이전
학부 졸업학점 : 134학점
대학원 과목 : 6학점 (학사 7학기에 이수)
평점 평균 : 3.5 이상
대학원 등록 : 대학원 등록을 필한 자
비고 : 학부졸업요건 충족하여야 졸업가능

구분 : 2013학번 이후
학부 졸업학점 : 124학점
대학원 과목 : 6학점 (학사 7학기에 이수)
평점 평균 : 3.5 이상
대학원 등록 : 대학원 등록을 필한 자
비고 : 학부졸업요건 충족하여야 졸업가능

나. 문 의 처 : 교무팀 02-300-0016

5. 학석사연계과정 취소요건

가. 대학원 입학 이전에 연계과정을 중도 포기한 자 ☞ 대학원행정실로 “학석사연계과정 포기원” 제출
나. 학부 졸업요건을 충족하지 못한 자
다. 대학원 과목을 이수하지 않은 자
라. 대학원 등록금을 납부하지 않은 자",https://kau.ac.kr/web/pages/gc51173h.do,
4,일정,"제 1 학기
구분 : '23.1 January
2023. 1. 1(일) : 신정
2023. 1. 2(월) ~ 6(금) : 복학 집중신청
2023. 1. 2(월) ~ 20(금) : 동계 계절학기
2023. 1. 21(토) ~ 23(월) (1. 24(화) 대체휴일) : 설날

구분 : 2 February
2023. 2. 2(목) ~ 3(금) : 장바구니 수강신청
2023. 2. 9(목) ~ 10(금) : 본 수강신청
2023. 2. 13(월) ~ 17(금) : 휴학 집중신청
2023. 2. 20(월) ~ 24(금) : 등록
2023. 2. 24(금) : 전기 학위수여식(제66회)
2023. 2. 28(화) : 신입생 입학식

구분 : 3 March
2023. 3. 1(수) : 삼일절
2023. 3. 2(목) : 개강
2023. 3. 2(목) ~ 8(수) : 수강신청 변경
2023. 3. 29(수) : 수업일수 4주선

구분 : 4 April

구분 : 5 May
2023. 5. 5(금) : 어린이날
2023. 5. 10(수) : 수업일수 2/3선

구분 : 6 June
2023. 5. 27(일) : 석가탄신일
2023. 6. 6(화) : 현충일
2023. 6. 8(목) ~ 14(수) : 보강기간
2023. 6. 15(목) ~ 22(목) : 기말시험
2023. 6. 16(금) : 개교기념일(제71회)

구분 : 7 July
2023. 7. 3(월) : 하계 계절학기 개강
2023. 7. 3(월) ~ 7(금) : 복학 집중신청
2023. 7. 21(금) : 하계 계절학기 종강

제 2 학기

8월:
- 3일(목) ~ 4일(금): 장바구니 수강신청
- 10일(목) ~ 11일(금): 본 수강신청
- 14일(월) ~ 18일(금): 휴학 집중신청
- 15일(화): 광복절
- 18일(금): 후기 학위수여식(제66회)
- 21일(월) ~ 25일(금): 등록기간
- 28일(월): 개강

9월:
- 28일(월) ~ 1일(금): 수강신청변경
- 24일(일): 수업일수 4주선
- 28일(목) ~ 30일(토): 추석

10월:
- 3일(화): 개천절
- 9일(월): 한글날

11월:
- 5일(일): 수업일수 2/3

12월:
- 4일(월) ~ 8일(금): 보강
- 11일(월) ~ 15일(금): 기말시험
- 25일(월): 성탄절
- 26일(화) ~ 1월 16일(화): 동계 계절학기

24.1월:
- 1일(월): 신정
- 8일(월) ~ 12일(금): 복학 집중신청

24.2월:
- 6일(화) ~ 7일(수): 장바구니 수강신청
- 9일(금) ~ 12일(월): 설날연휴
- 15일(목) ~ 16일(금): 본 수강신청
- 14일(수) ~ 20일(화): 휴학 집중신청
- 23일(금): 전기 학위수여식(제 67회)
- 19일(월) ~ 23일(금): 등록
- 29일(목): 신입생 입학식

문의 : 교무팀/윤미경
전화번호02-300-0011
E-mailmkyoon@kau.ac.kr",https://kau.ac.kr/web/pages/gc74039h.do,
5,수강지도상담,"수강지도 상담
1. 목적

학기개시 전 다음학기에 대한 수강계획 상담을 통해 학사지도 및 관리를 강화하고, 효율적인 학점 취득 추구

2. 대상

해당학기 수강예정 학부생 전원(※ 단, 학기별 신·편입생은 입학한 첫 학기에는 상담 대상이 아님)

3. 기간

학사공지 게시판을 통하여 학기별 별도 공지(1학기 1월중, 2학기 7월 중)

4. 상담방법

역량관리시스템 내 수강지도상담 메뉴 이용

메뉴 위치 : 종합정보시스템 하단 메뉴 &gt; 역량관리시스템 &gt; 통합상담 &gt; 지도교수상담 &gt; 수강지도상담
수강지도상담은 반드시 역량정보시스템 내 수강지도상담 메뉴를 통하여 진행하여야 하며, 기타방법(이메일, 전화 등)의 상담은 미인정

5. 상담절차

가. 수강지도상담 작성 : 학기별 개설된 전공과목 중 학생 본인이 듣고자 하는 과목의 '신청(학생)'란에 체크하여 신청. 본전공 외 교양, 다전공 관련 사항은 '전공외'란 및 '내용'란에 줄글로 기입
나. 상담내용 검토 : 학생의 수강상담 신청내역이 학생의 학사 진행에 적절한지 지도교수가 검토 후 승인 또는 반려
(반려 시 '가. 수강지도상담 작성' 재진행)

다. 수강지도상담 완료 : 학생의 수강지도상담 신청 내역을 지도교수가 승인할 경우 상담 완료

6. 상담대상 과목

대상학기 개설된 주전공 과목

기타 과목에 대한 수강계획은 '전공외'란에 이비력
본인 수강 가능 학점 내에서 상담과목 선택

7. 기타 주의사항

■ 수강지도 상담 미완료시 수강신청 불가
■ 수강지도상담 과목 신청이 수강신청을 의미하는 것은 아니며, 실제 수강신청시 과목별 수강제한인원이 초과된 경우 수강지도상담 시 신청한 과목을 수강신청하지 못할 수도 있음에 유의바람

성적 경고자 상담
1. 대상

직전학기 성적경고자(평점 1.8미만)

2. 시기

학부(과)별로 상이

3. 방법

가. 학부(과)사무실 통해 지도교수와의 상담일정 수립 및 상담일지 수령
나. 지도교수 상담
다. 학부(과)사무실로 상담일지 제출

4. 기타 안내

성적경고자 상담 미완료시 수강신청 불가

문의 : 교무팀/김현수
전화번호02-300-0364
E-mailkhs@kau.ac.kr",https://kau.ac.kr/web/pages/gc6309h.do,
6,재수강,"재수강
1. 재수강 요건

가. 기 취득 성적이 C+ 이하로서,  (취득성적 없을 경우 재수강 불가)
나. 해당학기 해당과목 또는 대체과목이 개설된 경우

2. 재수강시 제한사항

가. 신청가능 학점 : 학기당 수강신청 가능학점(18학점) 내에서 제한 없이 신청가능
나. 동일과목 재수강 제한횟수 : 2회(단, 필수과목은 예외)
다. 취득 상한 학점 : 최초재수강 A0, 재수강과목을 다시 수강할 경우 B+

3. 재수강 성적의 처리

가. 새로 취득한 학점의 처리가 완료된 후 기취득학점의 성적은 R(Retake)로 대체됨.
나. 새로 취득한 학점은 수강학기 성적에 포함됨

4. 재수강 대체 과목 확인 방법

수강신청 페이지 - 재수강/대체과목조회 또는 종합정보시스템 - 학사시스템 - 강좌정보 - 대체교과목조회

문의 : 교무팀/김현수
전화번호02-300-0364
E-mailkhs@kau.ac.kr",https://kau.ac.kr/web/pages/gc61422h.do,
7,폐강,"폐강
1. 폐강 기준

가. 수강신청 인원이 전공 10명, 교양 20명 미만인 경우 해당 강의는 폐강함 (학칙 시행세칙 제 8조 6항에 의거)
나. 수강신청 인원이 기준인원에 미달하더라도, 폐강 예외과목에 해당할 경우 폐강치 않을 수 있음

2. 폐강 절차

가. 폐강 예상교과목 공고

수강정정기간 첫날 6시 이후 폐강이 예상되는 교과목을 공고하여 수강생들이 자율적으로 수강내역을 조정할 수 있도록 한다.
단, 이 때 폐강예정과목은 당일 14시 당시의 수강인원을 기준으로 한다.

나. 폐강 공고 : 수강정정 기간 종료 후, 폐강기준에 해당하는 과목들을 공고하고 폐강처리한다.

문의 : 교무팀/김현수
전화번호02-300-0364
E-mailkhs@kau.ac.kr",https://kau.ac.kr/web/pages/gc84448h.do,
9,사회봉사과목,"사회봉사 과목이수안내
1. 사회봉사 이수방법

이론교육(4시간) + 봉사활동(34시간 이상)

2. 사회봉사 운영
이수구분 : 교양 선택
학점인정 : 1학점
비고 : “P”(Pass), “NP”(Non-Pass)

※ 수강신청 시 본인 최대수강신청 학점에 미포함
※ 재학 중 1회 1학점씩 총 2회 2학점까지 이수 가능
※ 성적산출시 취득학점에 포함, 평점평균 산정에 미포함
※ 연속 2회 “NP”일 경우 수강신청 불가

3. 사회봉사활동 인정기간

수강신청 직전학기 기말시험 시작일 ~ 수강신청 학기 기말시험 전까지(※ 헌혈은 기간제한 없음)

4. 사회봉사활동 기관 인정 범위

가. 시·도 및 시·군·구 자원봉사센터, 청소년활동진흥센터, 기타 사회복지관, 지역아동센터, 사회복지법인 사회복지봉사활동인증관리(VMS) 및
1365자원봉사포털에 등록되어 ‘사회복지 봉사활동 실적 인증서(VMS)’ 및 ‘자원봉사활동 확인서(1365)’가 출력되는 기관

VMS 출력 시 필히 ‘봉사자 실적 내역정보’ 출력하여 제출

니. 비영리민간단체(봉사활동확인서 제출 시 ‘비영리민간단체등록증’ 사본 첨부)

다. 해외봉사 : 인증된 국제 NGO단체

NGO(Non-Governmental Organization 비정부기구)는 지역-국가-국제적으로 조직된 자발적인 비영리 시민단체

라. 자원봉사센터 및 시민단체와 연계하여 하는 농촌봉사활동

마. 총학생회 주관 자원봉사

1학기 : 항공산타, 신입생새로배움터, 은익제 등
2학기 : 항공제, 하계방학 중 실시 한 사회봉사활동 등

바. 기타 부서 주관 대외행사 및 교내 자원봉사

입학관리팀 ‘모교입시 설명회’, 국제교류부 ‘Global-Buddy’, 항공우주박물관 ‘안내봉사’ 등

사. 헌혈활동 : 헌혈증 제출

1회 기준 4시간 인정
1학기 최대 2회(8시간)까지만 인정
추후 본교 재학생 중 필요한 학생 및 저소득층, 백혈병 소아암 협회, 관련 사회복지기관 등에게'항공대 재학생' 이름으로 기증

5. 사회봉사활동 미인정 범위

가. 공공기관, 행정기관에서의 봉사활동

공공기관 : 주민센터(구. 동사무소), 시.도.군.구청, 경찰서, 세무서, 소방서, 우체국 등
정부행정기관 : 국세청, 법원, 감사원, 국회 등

나. 도서관(단, 시각장애인을 위한 점자도서관은 인정), 어린이집, 경로당, 종교관련 봉사활동
다. 시·군·구 개최, 지역 개최 봉사활동(단, 교육과학기술부에서 공문화 되어 온 봉사활동은 인정)
라. 제출기간까지 봉사활동확인서가 미발급되거나 기간 및 시간이 정확히 기재되지 않은 봉사활동
(예 : 중앙일보 '공부의 신')

6. 제출서류

가. “사회봉사”과목 학점인정 서류

수강신청 전원 제출, 미제출시 학점인정 안됨
본교 총학생회 주관 자봉단 활동 시에도 제출

나. 사회봉사활동확인서(봉사활동을 실시한 기관에 양식이 없을 경우 사용)

7. 유의사항

가. 필히 ‘이론교육’ 4시간을 이수해야 봉사활동확인서 제출 시 학점 인정
나. 봉사활동 확인서는 원본을 제출하여야 하며, 제출한 서류는 일체 반환하지 않음
다. 봉사활동 확인서 수정 금지 (수정 시 담당자 날인이 없을 경우 무효 처리)
* 문의사항 : 02-300-0014

문의 : 교무팀
전화번호 : 02-300-0014
E-mail : mjkwak@kau.ac.kr",https://kau.ac.kr/web/pages/gc18564h.do,
10,강의평가,"강의평가
1. 목적

가. 강의에 대한 feedback 통해 강의의 질적 향상 도모
나. 외부교원 재임용시 평가 자료로 활용
다. 교원 업적평가 자료로 활용

2. 시기

정규학기 : 매학기 강의종료달 (6월, 12월) 1일부터 성적확인기간 종료시까지
계절학기 : 학기 마지막 주부터 성적확인기간 종료시까지

3. 대상강좌

해당 학기 전체 개설강좌 (단, 공학인증 강좌는 일반 강의평가뿐 아니라, 공학인증 강의평가도 수행함)

4. 방법

종합정보시스템 - 강좌정보 - 강의평가 메뉴 이용
※ 수강한 전체 과목에 대한 강의평가를 완료하지 않을 경우, 해당학기 성적 조회 불가

5. 강의평가 결과 확인

종합정보시스템 강좌정보 ""강의시간표및 계획서""의 강의계획서 내에 전년 동기 강의평가 확인 가능

6. 참고사항

강의평가 응답내용은 익명으로 집계되며 응답자에 대한 비밀이 철저하게 보장됨

문의 : 교무팀/김현수
전화번호02-300-0364
E-mailkhs@kau.ac.kr",https://kau.ac.kr/web/pages/gc21891h.do,
